Team,Season,Conference,Conf_Type,NET_Rank,Overall_Seed,Bid_Type,Divergence,Highlighted,Label
Michigan St.,2020-21,Big Ten,Power,70,43,AL,-27,FALSE,
Colgate,2020-21,Patriot,Low-Major,9,57,AQ,48,TRUE,
Virginia,2020-21,ACC,Power,12,16,AL,4,FALSE,
Eastern Wash.,2020-21,Big Sky,Low-Major,114,58,AQ,-56,FALSE,
Georgia Tech,2020-21,ACC,Power,34,34,AQ,0,FALSE,
UConn,2020-21,Big East,Power,30,26,AL,-4,FALSE,
West Virginia,2020-21,Big 12,Power,24,10,AL,-14,FALSE,
Rutgers,2020-21,Big Ten,Power,38,40,AL,2,FALSE,
BYU,2020-21,WCC,High-Major,20,23,AL,3,FALSE,
North Carolina,2020-21,ACC,Power,32,31,AL,-1,FALSE,
Morehead St.,2020-21,OVC,Low-Major,121,56,AQ,-65,FALSE,
Ohio St.,2020-21,Big Ten,Power,8,6,AL,-2,FALSE,
Oregon St.,2020-21,Pac-12,Mid-Major,91,46,AQ,-45,FALSE,
Michigan,2020-21,Big Ten,Power,4,4,AL,0,FALSE,
Hartford,2020-21,America East,Low-Major,162,64,AQ,-98,FALSE,
Georgetown,2020-21,Big East,Power,64,47,AQ,-17,FALSE,
Creighton,2020-21,Big East,Power,26,17,AL,-9,FALSE,
Norfolk St.,2020-21,MEAC,Low-Major,170,67,AQ,-103,FALSE,
Houston,2020-21,The American,High-Major,5,8,AQ,3,FALSE,
Oral Roberts,2020-21,Summit League,Low-Major,158,61,AQ,-97,FALSE,
Villanova,2020-21,Big East,Power,17,18,AL,1,FALSE,
Oregon,2020-21,Pac-12,Mid-Major,33,25,AL,-8,FALSE,
Colorado,2020-21,Pac-12,Mid-Major,15,20,AL,5,FALSE,
Tennessee,2020-21,SEC,Power,13,19,AL,6,FALSE,
Oklahoma,2020-21,Big 12,Power,36,32,AL,-4,FALSE,
St. Bonaventure,2020-21,Atlantic 10,High-Major,23,37,AQ,14,FALSE,
Cleveland St.,2020-21,Horizon,Low-Major,160,60,AQ,-100,FALSE,
Iowa,2020-21,Big Ten,Power,6,7,AL,1,FALSE,
Texas,2020-21,Big 12,Power,21,11,AQ,-10,FALSE,
San Diego St.,2020-21,Mountain West,High-Major,18,24,AQ,6,FALSE,
Virginia Tech,2020-21,ACC,Power,48,38,AL,-10,FALSE,
App State,2020-21,Sun Belt,Mid-Major,210,68,AQ,-142,FALSE,
VCU,2020-21,Atlantic 10,High-Major,37,39,AL,2,FALSE,
Kansas,2020-21,Big 12,Power,11,12,AL,1,FALSE,
Illinois,2020-21,Big Ten,Power,3,3,AQ,0,FALSE,
Loyola Chicago,2020-21,MVC,Mid-Major,10,30,AQ,20,TRUE,
Wichita St.,2020-21,The American,High-Major,72,45,AL,-27,FALSE,
Texas Southern,2020-21,SWAC,Low-Major,208,66,AQ,-142,FALSE,
Florida St.,2020-21,ACC,Power,25,13,AL,-12,FALSE,
Maryland,2020-21,Big Ten,Power,35,36,AL,1,FALSE,
LSU,2020-21,SEC,Power,28,29,AL,1,FALSE,
North Texas,2020-21,CUSA,Mid-Major,59,52,AQ,-7,FALSE,
Utah St.,2020-21,Mountain West,High-Major,39,42,AL,3,FALSE,
Clemson,2020-21,ACC,Power,41,27,AL,-14,FALSE,
Alabama,2020-21,SEC,Power,7,5,AQ,-2,FALSE,
Gonzaga,2020-21,WCC,High-Major,1,1,AQ,0,FALSE,
Iona,2020-21,MAAC,Low-Major,138,62,AQ,-76,FALSE,
Drake,2020-21,MVC,Mid-Major,45,48,AL,3,FALSE,
Missouri,2020-21,SEC,Power,47,33,AL,-14,FALSE,
Florida,2020-21,SEC,Power,31,28,AL,-3,FALSE,
Texas,2021-22,Big 12,Power,16,23,AL,7,FALSE,
Longwood,2021-22,Big South,Low-Major,125,55,AQ,-70,FALSE,
Montana St.,2021-22,Big Sky,Low-Major,120,58,AQ,-62,FALSE,
Akron,2021-22,MAC,Mid-Major,127,54,AQ,-73,FALSE,
Michigan,2021-22,Big Ten,Power,34,42,AL,8,FALSE,
Ohio St.,2021-22,Big Ten,Power,26,28,AL,2,FALSE,
UCLA,2021-22,Pac-12,Mid-Major,10,13,AL,3,FALSE,
Loyola Chicago,2021-22,MVC,Mid-Major,23,39,AQ,16,FALSE,
North Carolina,2021-22,ACC,Power,31,30,AL,-1,FALSE,
Kansas,2021-22,Big 12,Power,6,3,AQ,-3,FALSE,
UAB,2021-22,CUSA,Mid-Major,46,48,AQ,2,FALSE,
New Mexico St.,2021-22,WAC,Mid-Major,79,50,AQ,-29,FALSE,
Baylor,2021-22,Big 12,Power,4,4,AL,0,FALSE,
Rutgers,2021-22,Big Ten,Power,77,44,AL,-33,FALSE,
Texas Southern,2021-22,SWAC,Low-Major,197,67,AQ,-130,FALSE,
UConn,2021-22,Big East,Power,17,17,AL,0,FALSE,
Villanova,2021-22,Big East,Power,8,7,AQ,-1,FALSE,
Cal St. Fullerton,2021-22,Big West,Mid-Major,153,62,AQ,-91,FALSE,
Georgia St.,2021-22,Sun Belt,Mid-Major,159,63,AQ,-96,FALSE,
LSU,2021-22,SEC,Power,18,22,AL,4,FALSE,
San Diego St.,2021-22,Mountain West,High-Major,25,31,AL,6,FALSE,
Norfolk St.,2021-22,MEAC,Low-Major,156,64,AQ,-92,FALSE,
Arkansas,2021-22,SEC,Power,20,16,AL,-4,FALSE,
Saint Mary's (CA),2021-22,WCC,High-Major,19,19,AL,0,FALSE,
Providence,2021-22,Big East,Power,32,15,AL,-17,FALSE,
Seton Hall,2021-22,Big East,Power,37,32,AL,-5,FALSE,
Tennessee,2021-22,SEC,Power,7,10,AQ,3,FALSE,
A&M-Corpus Christi,2021-22,Southland,Low-Major,241,68,AQ,-173,FALSE,
Auburn,2021-22,SEC,Power,11,5,AL,-6,FALSE,
Wisconsin,2021-22,Big Ten,Power,24,9,AL,-15,FALSE,
Indiana,2021-22,Big Ten,Power,38,45,AL,7,FALSE,
Duke,2021-22,ACC,Power,12,8,AL,-4,FALSE,
Houston,2021-22,The American,High-Major,3,18,AQ,15,FALSE,
Bryant,2021-22,NEC,Low-Major,200,66,AQ,-134,FALSE,
Colgate,2021-22,Patriot,Low-Major,128,57,AQ,-71,FALSE,
Alabama,2021-22,SEC,Power,30,21,AL,-9,FALSE,
Purdue,2021-22,Big Ten,Power,13,11,AL,-2,FALSE,
Michigan St.,2021-22,Big Ten,Power,36,27,AL,-9,FALSE,
Boise St.,2021-22,Mountain West,High-Major,29,29,AQ,0,FALSE,
Jacksonville St.,2021-22,ASUN,Low-Major,143,61,AQ,-82,FALSE,
Vermont,2021-22,America East,Low-Major,52,53,AQ,1,FALSE,
Saint Peter's,2021-22,MAAC,Low-Major,124,60,AQ,-64,FALSE,
Marquette,2021-22,Big East,Power,42,35,AL,-7,FALSE,
Delaware,2021-22,CAA,Low-Major,137,59,AQ,-78,FALSE,
Virginia Tech,2021-22,ACC,Power,27,46,AQ,19,FALSE,
Yale,2021-22,Ivy League,Mid-Major,142,56,AQ,-86,FALSE,
Kentucky,2021-22,SEC,Power,5,6,AL,1,FALSE,
Gonzaga,2021-22,WCC,High-Major,1,1,AQ,0,FALSE,
Miami (FL),2021-22,ACC,Power,62,38,AL,-24,FALSE,
Memphis,2021-22,The American,High-Major,33,36,AL,3,FALSE,
Colorado St.,2021-22,Mountain West,High-Major,28,24,AL,-4,FALSE,
Illinois,2022-23,Big Ten,Power,34,36,AL,2,FALSE,
Duke,2022-23,ACC,Power,16,18,AQ,2,FALSE,
Iona,2022-23,MAAC,Low-Major,58,52,AQ,-6,FALSE,
Providence,2022-23,Big East,Power,56,42,AL,-14,FALSE,
Arizona,2022-23,Pac-12,Mid-Major,10,7,AQ,-3,FALSE,
Kentucky,2022-23,SEC,Power,26,23,AL,-3,FALSE,
Vermont,2022-23,America East,Low-Major,109,59,AQ,-50,FALSE,
Northern Ky.,2022-23,Horizon,Low-Major,154,63,AQ,-91,FALSE,
Kennesaw St.,2022-23,ASUN,Low-Major,115,55,AQ,-60,FALSE,
Memphis,2022-23,The American,High-Major,23,29,AQ,6,FALSE,
Maryland,2022-23,Big Ten,Power,31,31,AL,0,FALSE,
Gonzaga,2022-23,WCC,High-Major,6,10,AQ,4,FALSE,
Tennessee,2022-23,SEC,Power,4,14,AL,10,FALSE,
Creighton,2022-23,Big East,Power,17,22,AL,5,FALSE,
Pittsburgh,2022-23,ACC,Power,67,44,AL,-23,FALSE,
UConn,2022-23,Big East,Power,8,13,AL,5,FALSE,
Princeton,2022-23,Ivy League,Mid-Major,111,61,AQ,-50,FALSE,
Utah St.,2022-23,Mountain West,High-Major,18,40,AL,22,FALSE,
West Virginia,2022-23,Big 12,Power,25,34,AL,9,FALSE,
UNC Asheville,2022-23,Big South,Low-Major,140,62,AQ,-78,FALSE,
Iowa St.,2022-23,Big 12,Power,20,21,AL,1,FALSE,
Texas A&M,2022-23,SEC,Power,19,25,AL,6,FALSE,
Auburn,2022-23,SEC,Power,32,35,AL,3,FALSE,
Nevada,2022-23,Mountain West,High-Major,37,46,AL,9,FALSE,
Texas,2022-23,Big 12,Power,7,6,AQ,-1,FALSE,
Saint Mary's (CA),2022-23,WCC,High-Major,11,19,AL,8,FALSE,
Grand Canyon,2022-23,WAC,Mid-Major,104,57,AQ,-47,FALSE,
Kansas St.,2022-23,Big 12,Power,24,11,AL,-13,FALSE,
Iowa,2022-23,Big Ten,Power,39,32,AL,-7,FALSE,
Marquette,2022-23,Big East,Power,12,8,AQ,-4,FALSE,
UCLA,2022-23,Pac-12,Mid-Major,3,5,AL,2,FALSE,
Indiana,2022-23,Big Ten,Power,30,15,AL,-15,FALSE,
FDU,2022-23,NEC,Low-Major,301,68,AQ,-233,FALSE,
NC State,2022-23,ACC,Power,45,41,AL,-4,FALSE,
Arizona St.,2022-23,Pac-12,Mid-Major,66,45,AL,-21,FALSE,
Fla. Atlantic,2022-23,CUSA,Mid-Major,13,33,AQ,20,FALSE,
Oral Roberts,2022-23,Summit League,Low-Major,36,48,AQ,12,FALSE,
Boise St.,2022-23,Mountain West,High-Major,29,37,AL,8,FALSE,
Missouri,2022-23,SEC,Power,42,27,AL,-15,FALSE,
Virginia,2022-23,ACC,Power,27,16,AL,-11,FALSE,
Purdue,2022-23,Big Ten,Power,5,4,AQ,-1,FALSE,
Houston,2022-23,The American,High-Major,1,2,AL,1,FALSE,
Colgate,2022-23,Patriot,Low-Major,101,60,AQ,-41,FALSE,
Howard,2022-23,MEAC,Low-Major,214,64,AQ,-150,FALSE,
Penn St.,2022-23,Big Ten,Power,48,38,AL,-10,FALSE,
Michigan St.,2022-23,Big Ten,Power,33,26,AL,-7,FALSE,
TCU,2022-23,Big 12,Power,28,24,AL,-4,FALSE,
Nevada,2023-24,Mountain West,High-Major,34,37,AL,3,FALSE,
Saint Mary's (CA),2023-24,WCC,High-Major,16,20,AQ,4,FALSE,
McNeese,2023-24,Southland,Low-Major,56,49,AQ,-7,FALSE,
Vermont,2023-24,America East,Low-Major,102,51,AQ,-51,FALSE,
Duke,2023-24,ACC,Power,10,13,AL,3,FALSE,
Boise St.,2023-24,Mountain West,High-Major,26,38,AL,12,FALSE,
Dayton,2023-24,Atlantic 10,High-Major,23,28,AL,5,FALSE,
Mississippi St.,2023-24,SEC,Power,31,32,AL,1,FALSE,
Iowa St.,2023-24,Big 12,Power,6,8,AQ,2,FALSE,
Arizona,2023-24,Pac-12,Mid-Major,4,6,AL,2,FALSE,
Drake,2023-24,MVC,Mid-Major,47,40,AQ,-7,FALSE,
Howard,2023-24,MEAC,Low-Major,273,67,AQ,-206,FALSE,
Samford,2023-24,SoCon,Low-Major,74,53,AQ,-21,FALSE,
Colgate,2023-24,Patriot,Low-Major,125,58,AQ,-67,FALSE,
Yale,2023-24,Ivy League,Mid-Major,83,52,AQ,-31,FALSE,
Gonzaga,2023-24,WCC,High-Major,17,21,AL,4,FALSE,
North Carolina,2023-24,ACC,Power,8,4,AL,-4,FALSE,
Kentucky,2023-24,SEC,Power,18,11,AL,-7,FALSE,
Colorado,2023-24,Pac-12,Mid-Major,25,39,AL,14,FALSE,
San Diego St.,2023-24,Mountain West,High-Major,20,18,AL,-2,FALSE,
Duquesne,2023-24,Atlantic 10,High-Major,80,46,AQ,-34,FALSE,
Kansas,2023-24,Big 12,Power,19,14,AL,-5,FALSE,
Tennessee,2023-24,SEC,Power,7,5,AL,-2,FALSE,
Creighton,2023-24,Big East,Power,11,10,AL,-1,FALSE,
UAB,2023-24,The American,High-Major,104,50,AQ,-54,FALSE,
Col. of Charleston,2023-24,CAA,Low-Major,97,54,AQ,-43,FALSE,
Michigan St.,2023-24,Big Ten,Power,24,33,AL,9,FALSE,
Utah St.,2023-24,Mountain West,High-Major,38,30,AL,-8,FALSE,
Oakland,2023-24,Horizon,Low-Major,126,55,AQ,-71,FALSE,
Fla. Atlantic,2023-24,The American,High-Major,39,31,AL,-8,FALSE,
BYU,2023-24,Big 12,Power,12,17,AL,5,FALSE,
Wagner,2023-24,NEC,Low-Major,290,68,AQ,-222,FALSE,
Purdue,2023-24,Big Ten,Power,3,3,AL,0,FALSE,
Grambling,2023-24,SWAC,Low-Major,279,66,AQ,-213,FALSE,
Stetson,2023-24,ASUN,Low-Major,209,64,AQ,-145,FALSE,
Texas,2023-24,Big 12,Power,30,27,AL,-3,FALSE,
Akron,2023-24,MAC,Mid-Major,108,56,AQ,-52,FALSE,
Texas A&M,2023-24,SEC,Power,45,34,AL,-11,FALSE,
Illinois,2023-24,Big Ten,Power,13,12,AQ,-1,FALSE,
Colorado St.,2023-24,Mountain West,High-Major,36,44,AL,8,FALSE,
Florida,2023-24,SEC,Power,29,25,AL,-4,FALSE,
James Madison,2023-24,Sun Belt,Mid-Major,52,48,AQ,-4,FALSE,
TCU,2023-24,Big 12,Power,42,35,AL,-7,FALSE,
Texas Tech,2023-24,Big 12,Power,27,23,AL,-4,FALSE,
Auburn,2023-24,SEC,Power,5,15,AQ,10,FALSE,
Houston,2023-24,Big 12,Power,1,2,AL,1,FALSE,
Nebraska,2023-24,Big Ten,Power,33,29,AL,-4,FALSE,
Mississippi St.,2024-25,SEC,Power,34,32,AL,-2,FALSE,
Missouri,2024-25,SEC,Power,16,23,AL,7,FALSE,
McNeese,2024-25,Southland,Low-Major,58,49,AQ,-9,FALSE,
Arkansas,2024-25,SEC,Power,40,37,AL,-3,FALSE,
Drake,2024-25,MVC,Mid-Major,56,44,AQ,-12,FALSE,
Duke,2024-25,ACC,Power,1,2,AQ,1,FALSE,
American,2024-25,Patriot,Low-Major,226,65,AQ,-161,FALSE,
UNCW,2024-25,CAA,Low-Major,102,57,AQ,-45,FALSE,
Maryland,2024-25,Big Ten,Power,10,15,AL,5,FALSE,
Marquette,2024-25,Big East,Power,26,26,AL,0,FALSE,
Oklahoma,2024-25,SEC,Power,43,36,AL,-7,FALSE,
Michigan,2024-25,Big Ten,Power,23,17,AQ,-6,FALSE,
VCU,2024-25,Atlantic 10,High-Major,31,45,AQ,14,FALSE,
Akron,2024-25,MAC,Mid-Major,91,53,AQ,-38,FALSE,
Alabama,2024-25,SEC,Power,6,6,AL,0,FALSE,
Florida,2024-25,SEC,Power,4,4,AQ,0,FALSE,
Colorado St.,2024-25,Mountain West,High-Major,47,48,AQ,1,FALSE,
Saint Francis,2024-25,NEC,Low-Major,297,68,AQ,-229,FALSE,
Illinois,2024-25,Big Ten,Power,17,22,AL,5,FALSE,
Gonzaga,2024-25,WCC,High-Major,8,30,AQ,22,FALSE,
Bryant,2024-25,America East,Low-Major,141,62,AQ,-79,FALSE,
Texas A&M,2024-25,SEC,Power,18,13,AL,-5,FALSE,
BYU,2024-25,Big 12,Power,25,21,AL,-4,FALSE,
Kansas,2024-25,Big 12,Power,20,28,AL,8,FALSE,
Purdue,2024-25,Big Ten,Power,19,14,AL,-5,FALSE,
UConn,2024-25,Big East,Power,32,31,AL,-1,FALSE,
Utah St.,2024-25,Mountain West,High-Major,37,40,AL,3,FALSE,
Liberty,2024-25,CUSA,Mid-Major,60,50,AQ,-10,FALSE,
Texas Tech,2024-25,Big 12,Power,7,9,AL,2,FALSE,
Michigan St.,2024-25,Big Ten,Power,11,7,AL,-4,FALSE,
High Point,2024-25,Big South,Low-Major,82,52,AQ,-30,FALSE,
Norfolk St.,2024-25,MEAC,Low-Major,183,63,AQ,-120,FALSE,
Louisville,2024-25,ACC,Power,24,29,AL,5,FALSE,
Creighton,2024-25,Big East,Power,38,33,AL,-5,FALSE,
Texas,2024-25,SEC,Power,39,41,AL,2,FALSE,
Arizona,2024-25,Big 12,Power,12,16,AL,4,FALSE,
Houston,2024-25,Big 12,Power,3,3,AQ,0,FALSE,
Baylor,2024-25,Big 12,Power,30,35,AL,5,FALSE,
Lipscomb,2024-25,ASUN,Low-Major,84,55,AQ,-29,FALSE,
Xavier,2024-25,Big East,Power,45,42,AL,-3,FALSE,
Omaha,2024-25,Summit League,Low-Major,160,61,AQ,-99,FALSE,
St. John's (NY),2024-25,Big East,Power,13,8,AQ,-5,FALSE,
North Carolina,2024-25,ACC,Power,36,46,AL,10,FALSE,
Oregon,2024-25,Big Ten,Power,29,19,AL,-10,FALSE,
Montana,2024-25,Big Sky,Low-Major,143,58,AQ,-85,FALSE,
San Diego St.,2024-25,Mountain West,High-Major,52,43,AL,-9,FALSE,
New Mexico,2024-25,Mountain West,High-Major,42,38,AL,-4,FALSE,
UCLA,2024-25,Big Ten,Power,27,25,AL,-2,FALSE,
Tennessee,2024-25,SEC,Power,5,5,AL,0,FALSE,
Troy,2024-25,Sun Belt,Mid-Major,99,56,AQ,-43,FALSE,
SIUE,2024-25,OVC,Low-Major,216,64,AQ,-152,FALSE,
Vanderbilt,2024-25,SEC,Power,48,39,AL,-9,FALSE,
Georgia,2024-25,SEC,Power,33,34,AL,1,FALSE,
Ole Miss,2024-25,SEC,Power,28,24,AL,-4,FALSE,
New Mexico,2023-24,Mountain West,High-Major,22,42,AL,20,TRUE,New Mexico
San Francisco,2021-22,WCC,High-Major,22,37,AL,15,TRUE,San Francisco
USC,2021-22,Pac-12,Mid-Major,35,25,AL,-10,TRUE,USC